id,threshold,batch-size,sites,rounds,subrounds,accuracy,traffic
1,0.01,16,8,4498,4498,98.04,48636137741
2,0.1,16,8,1694,1760,96.97,18322918669
3,0.3,16,8,856,1085,96.61,9256664346
4,0.5,16,8,802,1062,96.52,8668401869
5,0.7,16,8,512,869,96.47,5536744634
6,0.9,16,8,403,635,96.17,4360177235
7,1,16,8,195,296,96.07,2110876838
8,0.5,1,8,633,743,97.83,6846804429
9,0.5,4,8,601,657,97.51,6494812347
10,0.5,16,8,802,1062,96.52,8668401869
11,0.5,32,8,622,784,97.03,6732350582
12,0.5,64,8,569,754,97.02,6150543055
13,0.5,128,8,395,542,96.97,4280445178
14,0.5,16,4,802,1062,96.52,8668401869
15,0.5,16,8,676,896,96.52,1799367206
16,0.5,16,16,173,470,96.5,1890244338
17,0.5,16,32,135,410,96.46,1984756554
18,0.5,16,64,64,241,96.27,1811274129
19,0.5,16,128,55,109,96.19,2064852507
