id,threshold,batch-size,sites,rounds,subrounds,accuracy,traffic
1,0.01,16,8,818,6133,99.24,160453182
2,0.1,16,8,416,3120,98.79,81639584
3,0.3,16,8,250,1872,98.75,48983750
4,0.5,16,8,136,1021,98.74,26689864
5,0.7,16,8,122,912,98.77,23863878
6,0.9,16,8,83,624,97.57,16327917
7,1,16,8,62,469,96.38,12245938
8,0.5,1,8,146,1099,99.08,28740666
9,0.5,4,8,138,1034,98.76,27033300
10,0.5,16,8,136,1021,98.74,26689864
11,0.5,32,8,67,504,98.67,13168308
12,0.5,64,8,62,467,98.65,12210613
13,0.5,128,8,60,449,98.55,11731765
14,0.5,16,4,143,972,98.72,22294377
15,0.5,16,8,136,1021,98.74,26689864
16,0.5,16,16,89,668,98.76,27645551
17,0.5,16,32,78,587,98.44,28064284
18,0.5,16,64,48,362,98.08,29081419
19,0.5,16,128,43,319,97.72,30774446
