id,threshold,batch-size,sites,rounds,rebalances,accuracy,traffic
1,0.01,16,8,6747,8859,98.07,56461271587
2,0.1,16,8,2542,712,97.48,18657422040
3,0.3,16,8,1285,1037,97.1,15478253016
4,0.5,16,8,1203,848,96.99,14513127048
5,0.7,16,8,768,581,96.98,9975494304
6,0.9,16,8,605,483,96.65,8292636408
7,1,16,8,293,389,96.54,6192102888
8,0.5,1,8,1492,2416,97.38,62086540644
9,0.5,4,8,1418,3795,97.22,40020099414
10,0.5,16,8,1203,848,96.99,14513127048
11,0.5,32,8,677,1877,96.6,19996243164
12,0.5,64,8,662,1866,96.59,19996242993
13,0.5,128,8,633,1807,96.56,19996241454
14,0.5,16,4,1296,2075,96.98,17851868737
15,0.5,16,8,1203,848,96.99,14513127048
16,0.5,16,16,898,975,96.97,41059298095
17,0.5,16,32,340,834,96.94,59946575218
18,0.5,16,64,205,762,96.78,75097517043
19,0.5,16,128,95,407,96.67,117152126588
