id,threshold,batch-size,sites,rounds,rebalances,accuracy,traffic
1,0.01,16,8,1296,8424,99.42,660214152
2,0.1,16,8,781,5075,99.01,397758650
3,0.3,16,8,589,3827,98.97,299949146
4,0.5,16,8,192,1248,98.74,97809504
5,0.7,16,8,149,968,98.77,75802366
6,0.9,16,8,98,635,98.25,49719832
7,1,16,8,67,437,97.36,34233326
8,0.5,1,8,222,1443,99.18,113015826
9,0.5,4,8,198,1235,98.78,96765185
10,0.5,16,8,192,1248,98.74,97809504
11,0.5,32,8,78,510,98.67,39938881
12,0.5,64,8,76,495,98.65,38797770
13,0.5,128,8,74,480,98.55,37656659
14,0.5,16,4,198,1291,98.72,49516061
15,0.5,16,8,192,1248,98.74,97809504
16,0.5,16,16,138,895,98.76,113886941
17,0.5,16,32,105,684,98.54,149191893
18,0.5,16,64,76,491,98.24,198425217
19,0.5,16,128,61,396,97.92,269858295
