id,threshold,batch-size,sites,rounds,subrounds,accuracy,traffic
1,0.1,16,4,600,3900,99.16,"57291917"
2,0.1,16,8,490,3182,98.49,"95486528"
3,0.1,16,16,416,2705,99.2,"131771409"
4,0.1,16,32,318,2069,98.98,"172620545"
5,0.1,16,64,228,1485,98.68,"229585325"
6,0.1,16,128,184,1195,98.36,"312236042"
7,0.1,16,4,252,1886,99.16,"20642941"
8,0.1,16,8,223,1672,98.48,"43704652"
9,0.1,16,16,173,1297,99.2,"45889884"
10,0.1,16,32,152,1140,98.88,"48643276"
11,0.1,16,64,113,846,98.52,"53994034"
12,0.1,16,128,100,747,98.16,"62633078"
