,,,,,id,threshold,batch-size,sites,rounds,subrounds,accuracy,traffic
,,,,,1,0.01,16,8,511,3833,99.18,100283239
,,,,,2,0.1,16,8,260,1950,98.73,51024740
,,,,,3,0.3,16,8,156,1170,98.69,30614844
,,,,,4,0.5,16,8,85,638,98.68,16681165
,,,,,5,0.7,16,8,76,570,98.71,14914924
,,,,,6,0.9,16,8,52,390,97.51,10204948
,,,,,7,1,16,8,39,293,96.32,7653711
,,,,,8,0.5,1,8,101,758,99.02,19821149
,,,,,9,0.5,4,8,95,713,98.68,18643655
,,,,,10,0.5,16,8,85,638,98.68,16681165
,,,,,11,0.5,32,8,55,413,98.61,10793695
,,,,,12,0.5,64,8,51,383,98.59,10008699
,,,,,13,0.5,128,8,49,368,98.49,9616201
,,,,,14,0.5,16,4,96,720,98.66,16514353
,,,,,15,0.5,16,8,85,638,98.68,16681165
,,,,,16,0.5,16,16,66,495,98.7,17515223
,,,,,17,0.5,16,32,58,435,98.38,18566136
,,,,,18,0.5,16,64,43,323,98.02,20608410
,,,,,19,0.5,16,128,38,285,97.66,23905755
