"exp_id","var_col","sites","lstm_cells","threshold","mini_batch_size","opt_max_iters","accuracy","rounds","bytes"
1,2,4,10,9.00E-10,32,500,98.12,83,3972300
2,0,8,10,9.00E-10,32,500,98.81,95,9052262
3,2,16,10,9.00E-10,32,500,99.23,237,45261312
4,2,32,10,9.00E-10,32,500,98.86,725,277067980
5,2,64,10,9.00E-10,32,500,98.50,1329,1015228416
6,2,128,10,9.00E-10,32,500,98.41,1968,3007337267
7,3,8,5,9.00E-10,32,500,97.26,246,7850214
9,3,8,15,9.00E-10,32,500,99.63,314,60141452
10,3,8,20,9.00E-10,32,500,99.61,181,57711488
11,4,8,10,8.00E-05,32,500,96.68,34,3246592
12,4,8,10,8.00E-10,32,500,98.79,126,12069683
13,4,8,10,9.00E-08,32,500,98.91,64,6168524
15,4,8,10,10E-10,32,500,99.32,139,13272832
16,5,8,10,9.00E-10,1,500,99.09,206,19742144
17,5,8,10,9.00E-10,4,500,99.28,173,16576716
18,5,8,10,9.00E-10,16,500,99.32,149,14227712
20,5,8,10,9.00E-10,64,500,99.18,88,8383846
21,5,8,10,9.00E-10,128,500,99.28,58,5490560
23,6,8,10,9.00E-10,32,1000,99.66,101,9663385
